question,qtype,source
why do people get polycystic kidney disease,causes,colloquial
why do pepple get polycystic kidney disese,causes,typo
What causes Pseudomembranous colitis ?,causes,original
why do people get pseudomembranous colitis,causes,colloquial
why do eoplle get pswudomembrnnou colitiis,causes,typo
What causes Hypoparathyroidism ?,causes,original
why do people get hypoparathyroidism,causes,colloquial
wh do people get hypoparathyroidism,causes,typo
What causes Drug-induced lupus erythematosus ?,causes,original
why do people get drug-induced lupus erythematosus,causes,colloquial
why do people geet drug-inuced lupus erythemattosus,causes,typo
What causes Congenital antithrombin III deficiency ?,causes,original
why do people get congenital antithrombin iii deficiency,causes,colloquial
whu ddo ppeople get conhenital antithronbin iii deficiency,causes,typo
What causes Deep venous thrombosis ?,causes,original
why do people get deep venous thrombosis,causes,colloquial
wy do peple get dee venoous thrombosis,causes,typo
What causes Hump behind the shoulders (Dorsocervical fat pad) ?,causes,original
why do people get hump behind the shoulders (dorsocervical fat pad),causes,colloquial
why do people get ump bhmd the shouldrrs (doorsocervical gat pad),causes,typo
What causes Urination - difficulty with flow ?,causes,original
why do people get urination - difficulty with flow,causes,colloquial
why do people get urination - diffixulty with flw,causes,typo
What causes Pericarditis ?,causes,original
why do people get pericarditis,causes,colloquial
why do people get pericarditis,causes,typo
What causes Isobutyryl-CoA dehydrogenase deficiency ?,causes,original
why do people get isobutyryl-coa dehydrogenase deficiency,causes,colloquial
why do people grt isonutyryl-cos dehydrognae ddefiiency,causes,typo
What causes Bladder outlet obstruction ?,causes,original
why do people get bladder outlet obstruction,causes,colloquial
wwhy d eoole get bladder outler obstructtion,causes,typo
What causes Anemia caused by low iron - infants and toddlers ?,causes,original
why do people get anemia caused by low iron - infants and toddlers,causes,colloquial
why do people get annemia caused by low iroon - infants snd toddlers,causes,typo
What causes Uterine prolapse ?,causes,original
why do people get uterine prolapse,causes,colloquial
why do people get uterine prolappse,causes,typo
What causes Ecthyma ?,causes,original
why do people get ecthyma,causes,colloquial
why do people get echyma,causes,typo
What causes Aicardi syndrome ?,causes,original
why do people get aicardi syndrome,causes,colloquial
wy do people ger aicardi dyndrome,causes,typo
What causes Dependent personality disorder ?,causes,original
why do people get dependent personality disorder,causes,colloquial
why do prople get depensent personality disorder,causes,typo
What causes Strep throat ?,causes,original
why do people get strep throat,causes,colloquial
why do peope get trep yhroar,causes,typo
What causes Prevent diabetes problems: Keep your heart and blood vessels healthy ?,causes,original
why do people get prevent diabetes problems: keep your heart and blood vessels healthy,causes,colloquial
why do people get precent diabetes probles: keep yur heat and blooo vessels healthy,causes,typo
What causes Galactosialidosis ?,causes,original
why do people get galactosialidosis,causes,colloquial
why do people get galactosialidosis,causes,typo
What causes Byssinosis ?,causes,original
why do people get byssinosis,causes,colloquial
wwy do people geet byssinosis,causes,typo
What causes Gastroparesis ?,causes,original
why do people get gastroparesis,causes,colloquial
why do pwople get gastroparresis,causes,typo
What causes Hydatidiform mole ?,causes,original
why do people get hydatidiform mole,causes,colloquial
why do people et hydatidiform mole,causes,typo
What causes What I need to know about Gas ?,causes,original
why do people get what i need to know about gas,causes,colloquial
whyy do people get what i need to know about gas,causes,typo
What causes Thrombotic thrombocytopenic purpura ?,causes,original
why do people get thrombotic thrombocytopenic purpura,causes,colloquial
why do people he thombtiv hrombocytopenic purpura,causes,typo
What causes Gastrointestinal perforation ?,causes,original
why do people get gastrointestinal perforation,causes,colloquial
why do people gget gssttroitesttinal perforation,causes,typo
What causes Encephalitis ?,causes,original
why do people get encephalitis,causes,colloquial
why d people get encephalitis,causes,typo
What causes Chondrocalcinosis 2 ?,causes,original
why do people get chondrocalcinosis 2,causes,colloquial
why do people get chobdrocalcinosis 2,causes,typo
What causes EEC syndrome ?,causes,original
why do people get eec syndrome,causes,colloquial
why do peoolle get eec syndrome,causes,typo
What causes Hiccups ?,causes,original
why do people get hiccups,causes,colloquial
why do peoole get hicccuups,causes,typo
What causes Multifocal choroiditis ?,causes,original
why do people get multifocal choroiditis,causes,colloquial
whyy doo peoople get multifocal choroidiris,causes,typo
What causes Trichorrhexis nodosa ?,causes,original
why do people get trichorrhexis nodosa,causes,colloquial
why do people get tricgorrgexis nodossa,causes,typo
What causes Hunter syndrome ?,causes,original
why do people get hunter syndrome,causes,colloquial
hyy do peple get hunte syndroe,causes,typo
What causes Problems with Taste ?,causes,original
why do people get problems with taste,causes,colloquial
why do people gt problems wih taste,causes,typo
What causes Intersex ?,causes,original
why do people get intersex,causes,colloquial
why d people get intersex,causes,typo
What causes Pericarditis - after heart attack ?,causes,original
why do people get pericarditis - after heart attack,causes,colloquial
why do people get pericarditis - affter heart attack,causes,typo
What causes Aspiration pneumonia ?,causes,original
why do people get aspiration pneumonia,causes,colloquial
whyy do peole get aspiration pneumonia,causes,typo
What causes Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis ?,causes,original
why do people get microscopic colitis: collagenous colitis and lymphocytic colitis,causes,colloquial
wg do people get micrroscipic colitis: collagenous colitis and lymphocytic colitis,causes,typo
What causes Eisenmenger syndrome ?,causes,original
why do people get eisenmenger syndrome,causes,colloquial
why do peopke get eisenmennger syndome,causes,typo
What causes Metabolic acidosis ?,causes,original
why do people get metabolic acidosis,causes,colloquial
why do people gt metabolic aciosis,causes,typo
What causes Lesch-Nyhan syndrome ?,causes,original
why do people get lesch-nyhan syndrome,causes,colloquial
why do people get leschh-nyhan syndrome,causes,typo
What causes Causes of Diabetes ?,causes,original
why do people get causes of diabetes,causes,colloquial
why do ppeople et causes of diabetes,causes,typo
What causes Cerebral hypoxia ?,causes,original
why do people get cerebral hypoxia,causes,colloquial
hhy doo people get cerebrall hhypoxia,causes,typo
What causes Fetal alcohol syndrome ?,causes,original
why do people get fetal alcohol syndrome,causes,colloquial
why do people get fettal alcohol synfrome,causes,typo
What causes Reflux nephropathy ?,causes,original
why do people get reflux nephropathy,causes,colloquial
why do oepple get reflux nephroppathy,causes,typo
What causes Tinnitus ?,causes,original
why do people get tinnitus,causes,colloquial
why ddo people get tinnits,causes,typo
What causes Chemosis ?,causes,original
why do people get chemosis,causes,colloquial
wwhy do ppeople ger hemosis,causes,typo
What causes Sciatica ?,causes,original
why do people get sciatica,causes,colloquial
why do eool get sciatica,causes,typo
What causes Suicide and suicidal behavior ?,causes,original
why do people get suicide and suicidal behavior,causes,colloquial
why do peopple gett suicide and duicidal bbeehavior,causes,typo
What causes Bedwetting ?,causes,original
why do people get bedwetting,causes,colloquial
why so people get bedweting,causes,typo
What causes Facial swelling ?,causes,original
why do people get facial swelling,causes,colloquial
wy d people gwt facial awellin,causes,typo
What causes Rhabdomyolysis ?,causes,original
why do people get rhabdomyolysis,causes,colloquial
wwhy do people get rhabdomyolyis,causes,typo
What causes Preeclampsia ?,causes,original
why do people get preeclampsia,causes,colloquial
why do peopl get preeclqmpsia,causes,typo
What causes Fibroadenoma - breast ?,causes,original
why do people get fibroadenoma - breast,causes,colloquial
why ddo people ger fbbroadenooma - breaast,causes,typo
What causes Crohn's Disease ?,causes,original
why do people get crohn's disease,causes,colloquial
why do people get crohn's diseasse,causes,typo
What causes Pityriasis rubra pilaris ?,causes,original
why do people get pityriasis rubra pilaris,causes,colloquial
why do pople get pitrisis rubra pilats,causes,typo
What causes Endometrial cancer ?,causes,original
why do people get endometrial cancer,causes,colloquial
ehu do peeople get endomeetroal cancer,causes,typo
What causes Osler-Weber-Rendu syndrome ?,causes,original
why do people get osler-weber-rendu syndrome,causes,colloquial
why do people et ossler-weber-rendu synnddrome,causes,typo
What causes Factor V deficiency ?,causes,original
why do people get factor v deficiency,causes,colloquial
why do people get fator v deeficiency,causes,typo
What causes Bile duct obstruction ?,causes,original
why do people get bile duct obstruction,causes,colloquial
why do peopl get bile uc obstruction,causes,typo
What causes Hypersensitivity vasculitis ?,causes,original
why do people get hypersensitivity vasculitis,causes,colloquial
why do peoole get gypersensitvity vasculutis,causes,typo
What causes Hypothyroidism ?,causes,original
why do people get hypothyroidism,causes,colloquial
why do people get hypothyroidissm,causes,typo
What causes Dermatitis herpetiformis ?,causes,original
why do people get dermatitis herpetiformis,causes,colloquial
why do people get derrmattis heerpetiformis,causes,typo
What causes Plague ?,causes,original
why do people get plague,causes,colloquial
why do people get plague,causes,typo
What causes Cryoglobulinemia ?,causes,original
why do people get cryoglobulinemia,causes,colloquial
wwhy so peiple get cryoglbulinemia,causes,typo
What causes Wheezing ?,causes,original
why do people get wheezing,causes,colloquial
why fo peoole get wjeezing,causes,typo
What causes Ludwigs angina ?,causes,original
why do people get ludwigs angina,causes,colloquial
why do peiplle gett luswiigs angin,causes,typo
What causes Gum (Periodontal) Disease ?,causes,original
why do people get gum (periodontal) disease,causes,colloquial
why do people get gum (priodintal) disease,causes,typo
What causes Ear barotrauma ?,causes,original
why do people get ear barotrauma,causes,colloquial
why o peoplw get ear barotrauma,causes,typo
What causes Umbilical hernia ?,causes,original
why do people get umbilical hernia,causes,colloquial
why do people get umbiliccal hernia,causes,typo
What causes Pigmented villonodular synovitis ?,causes,original
why do people get pigmented villonodular synovitis,causes,colloquial
why do people geet pigmented vilonodular symovitis,causes,typo
What causes Adolescent idiopathic scoliosis ?,causes,original
why do people get adolescent idiopathic scoliosis,causes,colloquial
why do peopl get adplescent idiopathic scoliois,causes,typo
What causes MECP2 duplication syndrome ?,causes,original
why do people get mecp2 duplication syndrome,causes,colloquial
why do people get mecp2 duplication syndrome,causes,typo
What causes Adenomyosis ?,causes,original
why do people get adenomyosis,causes,colloquial
why do people get sdenomyosis,causes,typo
What causes Pneumonia - weakened immune system ?,causes,original
why do people get pneumonia - weakened immune system,causes,colloquial
hy do people get pneuonia - weakened immyne system,causes,typo
What causes Herpetic stomatitis ?,causes,original
why do people get herpetic stomatitis,causes,colloquial
why ddo people gett herpetic stomatitis,causes,typo
What causes Antisocial personality disorder ?,causes,original
why do people get antisocial personality disorder,causes,colloquial
wh do peopple gett antisoxial personality diorder,causes,typo
What causes Ulcers ?,causes,original
why do people get ulcers,causes,colloquial
whyy doo peoplle get ulcers,causes,typo
What causes Drug-induced hypoglycemia ?,causes,original
why do people get drug-induced hypoglycemia,causes,colloquial
why do people get drrug-induced hypoglyccemis,causes,typo
What causes Reactive arthritis ?,causes,original
why do people get reactive arthritis,causes,colloquial
why do people get reaxtive arthritis,causes,typo
What causes Gardner-Diamond syndrome ?,causes,original
why do people get gardner-diamond syndrome,causes,colloquial
why do people get ardner-diamond syndrome,causes,typo
What causes Brachial plexopathy ?,causes,original
why do people get brachial plexopathy,causes,colloquial
why do peole get braachial plexopathy,causes,typo
What causes Parsonage Turner syndrome ?,causes,original
why do people get parsonage turner syndrome,causes,colloquial
why do peoplle get parsonage turner syndrome,causes,typo
What causes Jones syndrome ?,causes,original
why do people get jones syndrome,causes,colloquial
why do people get jones yndrome,causes,typo
What causes Uterine sarcoma ?,causes,original
why do people get uterine sarcoma,causes,colloquial
why ddo people get utterine sarcoma,causes,typo
What causes Premenstrual breast changes ?,causes,original
why do people get premenstrual breast changes,causes,colloquial
why do ppeoplle get premenstrual breast changes,causes,typo
What causes Arts syndrome ?,causes,original
why do people get arts syndrome,causes,colloquial
why do eiple get arts symdrome,causes,typo
What causes Dry eye syndrome ?,causes,original
why do people get dry eye syndrome,causes,colloquial
wwhy do people get ddty eye syndrpme,causes,typo
What causes Sensorimotor polyneuropathy ?,causes,original
why do people get sensorimotor polyneuropathy,causes,colloquial
why do people get sensorimotor polyneuropathy,causes,typo
What causes Vaginal cysts ?,causes,original
why do people get vaginal cysts,causes,colloquial
why do people geet vvaginal cysts,causes,typo
What causes Stress urinary incontinence ?,causes,original
why do people get stress urinary incontinence,causes,colloquial
why do pople get dtress urinary incontinence,causes,typo
What causes Sleep disorders - overview ?,causes,original
why do people get sleep disorders - overview,causes,colloquial
why do people get slep disordrrs - overview,causes,typo
What causes Progeria ?,causes,original
why do people get progeria,causes,colloquial
why do people grt progeria,causes,typo
What causes Benign ear cyst or tumor ?,causes,original
why do people get benign ear cyst or tumor,causes,colloquial
why doo people get enign ear cyst o tumor,causes,typo
What causes Myocardial contusion ?,causes,original
why do people get myocardial contusion,causes,colloquial
why do people get myocatdial contusion,causes,typo
What causes Age-related Macular Degeneration ?,causes,original
why do people get age-related macular degeneration,causes,colloquial
why do peeople get age-related nacular degeneratio,causes,typo
What causes Epispadias ?,causes,original
why do people get epispadias,causes,colloquial
hy do ppeopl get epispadias,causes,typo
What causes Mitral stenosis ?,causes,original
why do people get mitral stenosis,causes,colloquial
whyy do people het mitral senosis,causes,typo
What causes Brittle diabetes ?,causes,original
why do people get brittle diabetes,causes,colloquial
why do people get brittle fiabeetes,causes,typo
What causes Sepsis ?,causes,original
why do people get sepsis,causes,colloquial
why doo people get swpsis,causes,typo
What causes Secondary amenorrhea ?,causes,original
why do people get secondary amenorrhea,causes,colloquial
why do peoole get seconndqey amenorrhea,causes,typo
What causes Neuronal ceroid lipofuscinoses (NCLS) ?,causes,original
why do people get neuronal ceroid lipofuscinoses (ncls),causes,colloquial
why do people get neuronal ceroid kipofusciinoses (ncls),causes,typo
What causes Food allergy ?,causes,original
why do people get food allergy,causes,colloquial
why do peple get food qllergy,causes,typo
What causes Short Bowel Syndrome ?,causes,original
why do people get short bowel syndrome,causes,colloquial
whyy do ppeople get short bowel syndrome,causes,typo
What causes Osteochondritis dissecans ?,causes,original
why do people get osteochondritis dissecans,causes,colloquial
why do people get osteochondritis dissecans,causes,typo
What causes Fibrolamellar carcinoma ?,causes,original
why do people get fibrolamellar carcinoma,causes,colloquial
why do people gey ffibbrolammellar carcinomma,causes,typo
What causes Electrical injury ?,causes,original
why do people get electrical injury,causes,colloquial
whyy do people gett electrical injury,causes,typo
What causes Prostate cancer ?,causes,original
why do people get prostate cancer,causes,colloquial
why do people get prrostate cancer,causes,typo
What causes Pinguecula ?,causes,original
why do people get pinguecula,causes,colloquial
why do people get pingueculq,causes,typo
What causes Wolfram syndrome ?,causes,original
why do people get wolfram syndrome,causes,colloquial
why do people get wolfram symdrome,causes,typo
What causes 15q11.2 microdeletion ?,causes,original
why do people get 15q11.2 microdeletion,causes,colloquial
wy d people get 15q11.2 microdeleion,causes,typo
What causes Wilson disease ?,causes,original
why do people get wilson disease,causes,colloquial
why do people get wilson disease,causes,typo
What causes Diabetic mastopathy ?,causes,original
why do people get diabetic mastopathy,causes,colloquial
why do people et diaabbetic mdtopathy,causes,typo
What causes Low blood sugar ?,causes,original
why do people get low blood sugar,causes,colloquial
why do pople gt low blood sugar,causes,typo
What causes Cushing syndrome due to adrenal tumor ?,causes,original
why do people get cushing syndrome due to adrenal tumor,causes,colloquial
why do people get cudhing syndrpm duee to adrenal timor,causes,typo
What causes Cancer - vulva ?,causes,original
why do people get cancer - vulva,causes,colloquial
why doo people get cacer - vulva,causes,typo
What causes Localized scleroderma ?,causes,original
why do people get localized scleroderma,causes,colloquial
wy do peoplw gt localized sclroserma,causes,typo
What causes Mononeuritis multiplex ?,causes,original
why do people get mononeuritis multiplex,causes,colloquial
wy do people get mononeuritid mtiplex,causes,typo
What causes Animal bites - self-care ?,causes,original
why do people get animal bites - self-care,causes,colloquial
why do eople get animal bites - srlf-care,causes,typo
What causes Von Hippel-Lindau disease ?,causes,original
why do people get von hippel-lindau disease,causes,colloquial
why d people get von hippeel-lindau dosesse,causes,typo
What causes Medial epicondylitis - golfer's elbow ?,causes,original
why do people get medial epicondylitis - golfer's elbow,causes,colloquial
wgy do people get medial eppiccondylitis - golfer's elbow,causes,typo
What causes Primary thrombocythemia ?,causes,original
why do people get primary thrombocythemia,causes,colloquial
qhy do people get primary thrombocythemia,causes,typo
What causes Distal renal tubular acidosis ?,causes,original
why do people get distal renal tubular acidosis,causes,colloquial
whyy do peoople ge distal reenal ubula acidosia,causes,typo
What causes Stereotypic movement disorder ?,causes,original
why do people get stereotypic movement disorder,causes,colloquial
why do peopke get stereotpic movement diorder,causes,typo
What causes Diabetic ketoacidosis ?,causes,original
why do people get diabetic ketoacidosis,causes,colloquial
why do people get diaberuc ketooacidosis,causes,typo
What causes Pancreatic abscess ?,causes,original
why do people get pancreatic abscess,causes,colloquial
why do people get pancrratic anscess,causes,typo
What causes Disseminated peritoneal leiomyomatosis ?,causes,original
why do people get disseminated peritoneal leiomyomatosis,causes,colloquial
why doo peple get disseminateed peritoneal leiomymatosis,causes,typo
What causes Hepatitis B ?,causes,original
why do people get hepatitis b,causes,colloquial
wht doo peopl ggwt hepatitos b,causes,typo
What causes Hypolipoproteinemia ?,causes,original
why do people get hypolipoproteinemia,causes,colloquial
whhy dd peopke get hypolipoproteinemia,causes,typo
What causes Menopause ?,causes,original
why do people get menopause,causes,colloquial
wjy o oeople get memopause,causes,typo
What causes Gout ?,causes,original
why do people get gout,causes,colloquial
why do peoplw get gouut,causes,typo
What causes Congenital laryngeal palsy ?,causes,original
why do people get congenital laryngeal palsy,causes,colloquial
why do peeople get congenital laryngeal palsy,causes,typo
What causes Dry Mouth ?,causes,original
why do people get dry mouth,causes,colloquial
wgy do people get dry mouth,causes,typo
What causes Rubinstein-Taybi syndrome ?,causes,original
why do people get rubinstein-taybi syndrome,causes,colloquial
why do peoole get rubinstein-tayybi sydrome,causes,typo
What causes Medullary cystic kidney disease ?,causes,original
why do people get medullary cystic kidney disease,causes,colloquial
whyy ddo eople get medulary cyystic kidney diseae,causes,typo
What causes Causes of Diabetes ?,causes,original
why do people get causes of diabetes,causes,colloquial
why do people gt caudes of dabetes,causes,typo
What causes Juvenile angiofibroma ?,causes,original
why do people get juvenile angiofibroma,causes,colloquial
wjy do people get juveile angiofibroma,causes,typo
What causes Hairy tongue ?,causes,original
why do people get hairy tongue,causes,colloquial
why do peopl get hairy tongue,causes,typo
What causes Noonan syndrome ?,causes,original
why do people get noonan syndrome,causes,colloquial
why do peeople gett noonan syndrome,causes,typo
What causes Factor V deficiency ?,causes,original
why do people get factor v deficiency,causes,colloquial
wwhy do people get factor v deficieency,causes,typo
What causes UPJ obstruction ?,causes,original
why do people get upj obstruction,causes,colloquial
why do peope get ypj obstruction,causes,typo
What causes Malignant teratoma ?,causes,original
why do people get malignant teratoma,causes,colloquial
wwhy do peopl gt maignant teratoma,causes,typo
What causes Venous insufficiency ?,causes,original
why do people get venous insufficiency,causes,colloquial
why do peoople get venous insufficency,causes,typo
What causes Orofaciodigital syndrome 2 ?,causes,original
why do people get orofaciodigital syndrome 2,causes,colloquial
why di people get rifavodigital syndrome 2,causes,typo
What causes Hyperimmunoglobulin E syndrome ?,causes,original
why do people get hyperimmunoglobulin e syndrome,causes,colloquial
why di peopple get hyperimmunoglobuin e syndrome,causes,typo
What causes Parkinson disease ?,causes,original
why do people get parkinson disease,causes,colloquial
why doo people get patkinson disease,causes,typo
What causes Achondrogenesis ?,causes,original
why do people get achondrogenesis,causes,colloquial
why do peoplee het achonddrogenesis,causes,typo
What causes Irritable bowel syndrome ?,causes,original
why do people get irritable bowel syndrome,causes,colloquial
wy do pepple get irritabe bowel ayndrrome,causes,typo
What causes Lung metastases ?,causes,original
why do people get lung metastases,causes,colloquial
why do peple gget lung metastases,causes,typo
What causes Interstitial lung disease ?,causes,original
why do people get interstitial lung disease,causes,colloquial
why do peoplee get interrstitial lung diseease,causes,typo
What causes Scabies ?,causes,original
why do people get scabies,causes,colloquial
why do peoplr get scabies,causes,typo
What causes Rhabdomyosarcoma ?,causes,original
why do people get rhabdomyosarcoma,causes,colloquial
why do peple grt rhabdomuosarcoma,causes,typo
What causes Hereditary cerebral hemorrhage with amyloidosis ?,causes,original
why do people get hereditary cerebral hemorrhage with amyloidosis,causes,colloquial
why do people get hereditary cerebral hemorrhhaage with amyloidosis,causes,typo
What causes Raynaud phenomenon ?,causes,original
why do people get raynaud phenomenon,causes,colloquial
why do people het raynaud phenonenon,causes,typo
What causes Inguinal Hernia ?,causes,original
why do people get inguinal hernia,causes,colloquial
why do people get inguinal hernia,causes,typo
What causes Trachoma ?,causes,original
why do people get trachoma,causes,colloquial
why do people get trachoma,causes,typo
What causes Breast cancer ?,causes,original
why do people get breast cancer,causes,colloquial
why do people get breasy cancer,causes,typo
What causes Lactose intolerance ?,causes,original
why do people get lactose intolerance,causes,colloquial
wwy do peoplee get lactose intoletance,causes,typo
What causes Colpocephaly ?,causes,original
why do people get colpocephaly,causes,colloquial
why do people get xopocephaly,causes,typo
What causes Osteosarcoma ?,causes,original
why do people get osteosarcoma,causes,colloquial
why do people gett osteosarcoma,causes,typo
What causes Hyperhidrosis ?,causes,original
why do people get hyperhidrosis,causes,colloquial
wy do pepple get hhyperhidrosus,causes,typo
What causes Dry Mouth ?,causes,original
why do people get dry mouth,causes,colloquial
why do people get dry mouth,causes,typo
What causes Megalocytic interstitial nephritis ?,causes,original
why do people get megalocytic interstitial nephritis,causes,colloquial
why do people gt megalocytic intersttitial nephritis,causes,typo
What causes Nightmares ?,causes,original
why do people get nightmares,causes,colloquial
why do peiple get nightmarea,causes,typo
What causes Opioid intoxication ?,causes,original
why do people get opioid intoxication,causes,colloquial
wh do people gwt opoid ibtoxication,causes,typo
What causes Meningitis - meningococcal ?,causes,original
why do people get meningitis - meningococcal,causes,colloquial
why do peoplle get meingitis - meningococcal,causes,typo
What causes Ehlers-Danlos syndrome ?,causes,original
why do people get ehlers-danlos syndrome,causes,colloquial
why do people get ehlers-danlos syndrome,causes,typo
What causes Galactosemia ?,causes,original
why do people get galactosemia,causes,colloquial
wy do people get galactosemia,causes,typo
What causes Nummular eczema ?,causes,original
why do people get nummular eczema,causes,colloquial
wh do people get nummulae ecema,causes,typo
What causes Folliculitis ?,causes,original
why do people get folliculitis,causes,colloquial
qhyy do people get folliculitis,causes,typo
What causes Pyogenic liver abscess ?,causes,original
why do people get pyogenic liver abscess,causes,colloquial
why do people get pyyogenic iver absess,causes,typo
What causes Dry Mouth ?,causes,original
why do people get dry mouth,causes,colloquial
why do people get dry moutj,causes,typo
What causes Blind loop syndrome ?,causes,original
why do people get blind loop syndrome,causes,colloquial
whhy do people get blind loop syndrome,causes,typo
What causes Relapsing polychondritis ?,causes,original
why do people get relapsing polychondritis,causes,colloquial
qhy do peole get relapsing polychondritis,causes,typo
What causes Sudden Cardiac Arrest ?,causes,original
why do people get sudden cardiac arrest,causes,colloquial
why do people get suuddenn caediac arrest,causes,typo
What causes Huntington disease ?,causes,original
why do people get huntington disease,causes,colloquial
whhy do people get hintington diseas,causes,typo
What causes Esophageal cancer ?,causes,original
why do people get esophageal cancer,causes,colloquial
wjy doo people get esophagea cancr,causes,typo
What causes Central sleep apnea ?,causes,original
why do people get central sleep apnea,causes,colloquial
why do peopke get central sleep apnea,causes,typo
What causes Gastroschisis ?,causes,original
why do people get gastroschisis,causes,colloquial
wht do peoplr get gastrschhsis,causes,typo
What causes Acute arterial occlusion - kidney ?,causes,original
why do people get acute arterial occlusion - kidney,causes,colloquial
why do pople get acute arrerial occclusin - kdney,causes,typo
What causes Branchiootorenal syndrome ?,causes,original
why do people get branchiootorenal syndrome,causes,colloquial
why do peoole gget brancchiootorena synndrome,causes,typo
What causes Ectodermal dysplasia ?,causes,original
why do people get ectodermal dysplasia,causes,colloquial
ehy so peoppke get ectodermal ddysplssia,causes,typo
What causes Bowel incontinence ?,causes,original
why do people get bowel incontinence,causes,colloquial
why d people get bowel incntinence,causes,typo
What causes Bartter syndrome ?,causes,original
why do people get bartter syndrome,causes,colloquial
why do peopke get bartter ayndrome,causes,typo
What causes Cleft lip and palate ?,causes,original
why do people get cleft lip and palate,causes,colloquial
why do people get cleft lip and palate,causes,typo
What causes Breathing difficulty - lying down ?,causes,original
why do people get breathing difficulty - lying down,causes,colloquial
why do people get breathing difficulty - lying down,causes,typo
What causes Scheie syndrome ?,causes,original
why do people get scheie syndrome,causes,colloquial
why do people gget scheie syndrome,causes,typo
What causes Russell-Silver syndrome ?,causes,original
why do people get russell-silver syndrome,causes,colloquial
wht do people get russell-sillver syndrome,causes,typo
What causes Bruxism ?,causes,original
why do people get bruxism,causes,colloquial
why do people gett bruxism,causes,typo
What causes Digitalis toxicity ?,causes,original
why do people get digitalis toxicity,causes,colloquial
wgy do people get digitaliis roxicity,causes,typo
What causes Multiple endocrine neoplasia type 1 ?,causes,original
