question,qtype,source
What makes people get kidney stones?,causes,llm_generated
Why have I got this rash suddenly?,causes,llm_generated
I've been having trouble sleepinng and I'm wondering f it's because of my phone bbefore bed,causes,typo
What causes Ecthyma ?,causes,original
I'm trying to figure out what's causing my stomach problems,causes,llm_generated
Can a change in the weather cause my symptoms to flare up,causes,llm_generated
Did I do something to cause my back to hurt like this,causes,llm_generated
I'm trying to figure out what's causing my stpmch robemd,causes,typo
What causes Aicardi syndrome ?,causes,original
Why did my ankle suddenly give way?,causes,llm_generated
Do you think my injury is from overexerting myself at the gym,causes,llm_generated
What triggers these really bad headaches I keep getting?,causes,llm_generated
Why did my ankle suddenlu give way?,causes,typo
What causes Dependent personality disorder ?,causes,original
What causes spots to appear on your face?,causes,llm_generated
Can stress cause my blood pressure to go up,causes,llm_generated
What causes a cold sore to appear,causes,llm_generated
Whhat csusses a old ssore to appear,causes,typo
What causes Strep throat ?,causes,original
What triggers these really bad headaches I keep getting?,causes,llm_generated
I've been feeling really dizzy and I don't know what's causing it,causes,llm_generated
I've been getting these migraines and I don't know what's setting them off,causes,llm_generated
What trggers these really bad headaches I keep gettibg?,causes,typo
What causes Prevent diabetes problems: Keep your heart and blood vessels healthy ?,causes,original
I've been having trouble breathing and I'm not sure what's causing it,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,llm_generated
I've been having these muscle spasms and I don't know what's causing them,causes,llm_generated
I've been having troubkee breathing and I'm not sure whst's causinng iit,causes,typo
What causes Galactosialidosis ?,causes,original
My skin is really sensitive and I'm wondering if it's because of the products I'm using,causes,llm_generated
What's triggered this off then?,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,llm_generated
I'mm trryinng to work out what's triggered rhis condition,causes,typo
What causes Byssinosis ?,causes,original
I was wondering if my medication could be causing my headaches,causes,llm_generated
Why am I having trouble sleeping all of a sudden?,causes,llm_generated
Is there something in my environment that's making me feel unwell,causes,llm_generated
I was wobderung if my meddiattion culd be causin my headches,causes,typo
What causes Gastroparesis ?,causes,original
I've had a cough for ages and I'm worried it might be something serious that I've caught,causes,llm_generated
My throat is killing me and I think it might be from shouting at the football match,causes,llm_generated
"What's the root cause of all this, then",causes,llm_generated
"What's th root cause of ll this, then",causes,typo
What causes Hydatidiform mole ?,causes,original
Why do you think this has happened to me,causes,llm_generated
Is there something in my lifestyle that's causing this,causes,llm_generated
I've had a fever for days and I don't know what's causing it,causes,llm_generated
Is there something in my lifestylee that's causing thiis,causes,typo
What causes What I need to know about Gas ?,causes,original
My tongue is really sore and I think it might be because of the new toothpaste I'm using,causes,llm_generated
I've been having these weird pains in my chest and I don't know what's causing them,causes,llm_generated
"I'm not sure what's going on with me, can you help",causes,llm_generated
"I' not sure what's going on with me, can you help",causes,typo
What causes Thrombotic thrombocytopenic purpura ?,causes,original
What brings on a panic attack?,causes,llm_generated
What caused my blood pressure to go up?,causes,llm_generated
Did my recent travel cause my illness,causes,llm_generated
What bengs on a panic attaack?,causes,typo
What causes Gastrointestinal perforation ?,causes,original
Why am I feeling so weak and dizzy after eating?,causes,llm_generated
My doctor says I have high cholesterol but I don't know what caused it,causes,llm_generated
Why do you think this has happened to me,causes,llm_generated
Why do you think this has happened to me,causes,typo
What causes Encephalitis ?,causes,original
Wat causes these awful migraines I keep gettin?,causes,llm_generated
My doctor says I have high cholesterol but I don't know what caused it,causes,llm_generated
Why am I feeling so weak and dizzy after eating?,causes,llm_generated
Wat causes these awful migraimes I keep gettiin?,causes,typo
What causes Chondrocalcinosis 2 ?,causes,original
My ear has been hurting and I think it might be because of my headphones,causes,llm_generated
I'd like to know what's behind all these health issues,causes,llm_generated
Why am I feeling so weak and dizzy after eating?,causes,llm_generated
My ea has been hurting ad I think it migh be because of my headphoness,causes,typo
What causes EEC syndrome ?,causes,original
"Ive been so anxious lately, is there a reason for it?",causes,llm_generated
What could be making my joint ache so much?,causes,llm_generated
What makes your muscles ache so much after exercise?,causes,llm_generated
What could be makingg my joit ache so much?,causes,typo
What causes Hiccups ?,causes,original
What's led to me being in this state,causes,llm_generated
Is it possible that my pet is making me sick,causes,llm_generated
I've had a fever for days and I don't know what's causing it,causes,llm_generated
I've ha aa fevver for days and I don'tt kknow what's causing it,causes,typo
What causes Multifocal choroiditis ?,causes,original
Is it something I've done that's caused this,causes,llm_generated
What makes people get kidney stones?,causes,llm_generated
What makes your eyes get so red and itchy?,causes,llm_generated
Whatt makes your eyed get so red abd otchy?,causes,typo
What causes Trichorrhexis nodosa ?,causes,original
I'm looking for answers about what's caused this,causes,llm_generated
My tongue is really sore and I think it might be because of the new toothpaste I'm using,causes,llm_generated
What causes thrush to keep coming back?,causes,llm_generated
What causes thrrush to keeep coming back?,causes,typo
What causes Hunter syndrome ?,causes,original
Is it possible that my diet is making my joints ache,causes,llm_generated
What could be causing my fatigue,causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
What could be ccausing mt atigue,causes,typo
What causes Problems with Taste ?,causes,original
What's the underlying reason for all this,causes,llm_generated
I've been having trouble with my eyes and I'm wondering if it's because of my computer screen,causes,llm_generated
What could be making me so tired lately?,causes,llm_generated
What' thw uderlying reason for alll this,causes,typo
What causes Intersex ?,causes,original
Why do you think this has happened to me,causes,llm_generated
Why did I suddenly lose my voice like this?,causes,llm_generated
What makes someone prone to tonsillitis?,causes,llm_generated
Why did o suddenly losee mmy voice likw this?,causes,typo
What causes Pericarditis - after heart attack ?,causes,original
Is it possible that my illness is because of something I caught from someone else,causes,llm_generated
What's the reason for all these problems I'm having,causes,llm_generated
What triggers these really bad headaches I keep getting?,causes,llm_generated
Is it possibe tha my llness ia because if sometiing I caught from someone else,causes,typo
What causes Aspiration pneumonia ?,causes,original
Can a lack of sleep cause my symptoms to get worse,causes,llm_generated
I'd like to know what's behind all these health issues,causes,llm_generated
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
My mum had a hert attack amd I'm worrieed it might ryn nn the famiily but II also smoke and drink so is that whaat caused ers,causes,typo
What causes Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis ?,causes,original
"Ive been so anxious lately, is there a reason for it?",causes,llm_generated
Can you tell me what's causing me to feel like this,causes,llm_generated
Why do people get arthritis?,causes,llm_generated
Why do eole get arthrito?,causes,typo
What causes Eisenmenger syndrome ?,causes,original
Is there something in my lifestyle that's causing this,causes,llm_generated
Did catching that cold lead to this chest infection?,causes,llm_generated
I want to know why this is happening to me now,causes,llm_generated
Did catchinng that cold leadd to yhis chest infection?,causes,typo
What causes Metabolic acidosis ?,causes,original
My mum had a heart attack and I'm worried it might run in the family but I also smoke and drink so is that what caused hers,causes,llm_generated
"What set this whole thing off, then",causes,llm_generated
What causes this horrible burning sensation?,causes,llm_generated
"hat sset this whole thingg ooff, then",causes,typo
What causes Lesch-Nyhan syndrome ?,causes,original
Is it my diet that's causing my heartburn?,causes,llm_generated
Is there something in my lifestyle that's causing this,causes,llm_generated
Why have I got this rash suddenly?,causes,llm_generated
Is it my diet tht's caussing my heartburn?,causes,typo
What causes Causes of Diabetes ?,causes,original
What triggers these really bad headaches I keep getting?,causes,llm_generated
Why did I get this rash on my face,causes,llm_generated
My doctor says I have high cholesterol but I don't know what caused it,causes,llm_generated
My octor sas I ave high cholesterol byt I don'r know what cased it,causes,typo
What causes Cerebral hypoxia ?,causes,original
What could be giving me this constant cough?,causes,llm_generated
Can you get pneumonia from being out in the cold,causes,llm_generated
Why am I suddenly so sensitive to light and noise?,causes,llm_generated
Can you get pneuunoia from being outt in the cold,causes,typo
What causes Fetal alcohol syndrome ?,causes,original
What triggers eczema because I've had it since I was a kid,causes,llm_generated
Did I do something to get this infection?,causes,llm_generated
I've been getting these migraines and I don't know what's setting them off,causes,llm_generated
Did I do ssomehing tto get this infection?,causes,typo
What causes Reflux nephropathy ?,causes,original
"What's the root cause of all this, then",causes,llm_generated
Why did I suddenly lose my voice like this?,causes,llm_generated
What's triggered this off then?,causes,llm_generated
"What's the root ccauae of sll this, then",causes,typo
What causes Tinnitus ?,causes,original
I'd like to know what's behind all these health issues,causes,llm_generated
Is it my diet that's causing my heartburn?,causes,llm_generated
What's the reason for all these problems I'm having,causes,llm_generated
hat's the reasom for akl these oroblems I'm havibg,causes,typo
What causes Chemosis ?,causes,original
Can a lack of sleep cause my symptoms to get worse,causes,llm_generated
Is it something I ate that's given me this upset tummy?,causes,llm_generated
"I'm not sure what's going on with me, can you help",causes,llm_generated
Can a lack ig sleep cuse my symptoms to get orse,causes,typo
What causes Sciatica ?,causes,original
"What made this all start, doctor",causes,llm_generated
What triggers eczema flare-ups?,causes,llm_generated
"Ive been so anxious lately, is there a reason for it?",causes,llm_generated
"What made this al start, dictor",causes,typo
What causes Suicide and suicidal behavior ?,causes,original
What could be making my joint ache so much?,causes,llm_generated
"Ive been so anxious lately, is there a reason for it?",causes,llm_generated
"What set this whole thing off, then",causes,llm_generated
"Ive been so anzious lateely, is therre a reason for it?",causes,typo
What causes Bedwetting ?,causes,original
Is it something I've done that's caused this,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,llm_generated
What could be giving me this constant cough?,causes,llm_generated
What coould be giving me his constany cough?,causes,typo
What causes Facial swelling ?,causes,original
Can you tell me what's causing me to feel like this,causes,llm_generated
Is it possible that my pet is making me sick,causes,llm_generated
What's led to me ending up in hospital,causes,llm_generated
Can you tel me whay's causing me to feel like thi,causes,typo
What causes Rhabdomyolysis ?,causes,original
Why am I suddenly so sensitive to light and noise?,causes,llm_generated
Can you explain what's caused this to happen,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,typo
What causes Preeclampsia ?,causes,original
Why did my leg swell up like this overnight?,causes,llm_generated
What could be causing my fatigue,causes,llm_generated
Why has this started happening to me at my age,causes,llm_generated
Why hss this startd happening to me at m age,causes,typo
What causes Fibroadenoma - breast ?,causes,original
What's causing all this pain in my back?,causes,llm_generated
"I'm confused about what's going on, can you clarify",causes,llm_generated
Why is my body doing this to me,causes,llm_generated
Why is my body doing this to me,causes,typo
What causes Crohn's Disease ?,causes,original
Is it possible that my pet is making me sick,causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
Can stress cause my blood pressure to go up,causes,llm_generated
Can stress ccause my blood pressure t go up,causes,typo
What causes Pityriasis rubra pilaris ?,causes,original
What causes hay fever to be so bad some years?,causes,llm_generated
Do you think my injury is from overexerting myself at the gym,causes,llm_generated
Is my illness because of something I ate,causes,llm_generated
Is my iillness vecause of somethin I ate,causes,typo
What causes Endometrial cancer ?,causes,original
My doctor says I have high cholesterol but I don't know what caused it,causes,llm_generated
My throat is killing me and I think it might be from shouting at the football match,causes,llm_generated
Why am I always feeling so out of breath?,causes,llm_generated
Myy thhroat iis killing me and I think it mightt be from shouting at tthe fiotball match,causes,typo
What causes Osler-Weber-Rendu syndrome ?,causes,original
Can a change in the weather cause my symptoms to flare up,causes,llm_generated
Did I do something to cause my back to hurt like this,causes,llm_generated
Can you explain what's caused this to happen,causes,llm_generated
Can a xhange in the weather cause my symtoms to flare up,causes,typo
What causes Factor V deficiency ?,causes,original
What makes someone prone to tonsillitis?,causes,llm_generated
"What makes an adult get a fever, like?",causes,llm_generated
"I feel like I've lost control of my body, what's happening",causes,llm_generated
"I feel like I'e lost contrrol of my body, what's happening",causes,typo
What causes Bile duct obstruction ?,causes,original
I want to know why this is happening to me now,causes,llm_generated
Is it possible that my diet is causing my acne,causes,llm_generated
Why do I keep getting sick all the time,causes,llm_generated
Is it possible tgat myy diet is causing my acne,causes,typo
What causes Hypersensitivity vasculitis ?,causes,original
I'm trying to figure out what's causing my stomach problems,causes,llm_generated
What causes this horrible burning sensation?,causes,llm_generated
Can a viral infection cause my symptoms,causes,llm_generated
Can a vral infectioon cause my sympptoms,causes,typo
What causes Hypothyroidism ?,causes,original
What could be giving me this constant cough?,causes,llm_generated
Is it something I ate that's given me this upset tummy?,causes,llm_generated
"I'm not sure what's going on, can you fill me in",causes,llm_generated
"I'm not sure whaat's gooing on, can you fill me in",causes,typo
What causes Dermatitis herpetiformis ?,causes,original
Wat causes these awful migraines I keep gettin?,causes,llm_generated
What could be giving me this constant cough?,causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
I've had this pai ib my side for weels and I hhave no idea what'ss vausing it,causes,typo
What causes Plague ?,causes,original
My tongue is really sore and I think it might be because of the new toothpaste I'm using,causes,llm_generated
Wat causes these awful migraines I keep gettin?,causes,llm_generated
Why do you think this has happened to me,causes,llm_generated
Wat causes these awful migraines I keep gettin?,causes,typo
What causes Cryoglobulinemia ?,causes,original
My ear has been hurting and I think it might be because of my headphones,causes,llm_generated
Why has this started happening to me at my age,causes,llm_generated
Wat causes these awful migraines I keep gettin?,causes,llm_generated
Why has this starttedd happening to me at my ge,causes,typo
What causes Wheezing ?,causes,original
Is it my diet that's causing my heartburn?,causes,llm_generated
What caused my blood pressure to go up?,causes,llm_generated
What makes your muscles ache so much after exercise?,causes,llm_generated
Is iy my diet that's causing my heartburn?,causes,typo
What causes Ludwigs angina ?,causes,original
Can you tell me what's behind all this,causes,llm_generated
"I've got this weird lump, what could have caused it?",causes,llm_generated
Why has this started happening to me at my age,causes,llm_generated
Why has ths started jappening to me at my age,causes,typo
What causes Gum (Periodontal) Disease ?,causes,original
Why am I always feeling so out of breath?,causes,llm_generated
My skin is really sensitive and I'm wondering if it's because of the products I'm using,causes,llm_generated
Wat causes these awful migraines I keep gettin?,causes,llm_generated
Mu skin is really seensitive an I'm wondering if t's because of the products I'm ising,causes,typo
What causes Ear barotrauma ?,causes,original
I've been having trouble breathing and I'm not sure what's causing it,causes,llm_generated
I'm trying to work out what's triggered this condition,causes,llm_generated
I've been feeling really dizzy and I don't know what's causing it,causes,llm_generated
I've been having ttrouble breathing ans I'm not sure what's caung it,causes,typo
What causes Umbilical hernia ?,causes,original
"What made this all start, doctor",causes,llm_generated
I've had this lump on my neck for weeks and I have no idea what's causing it,causes,llm_generated
What makes your muscles ache so much after exercise?,causes,llm_generated
What akes your muscles aache so mucj after exerise?,causes,typo
What causes Pigmented villonodular synovitis ?,causes,original
Is it possible that my diet is making my joints ache,causes,llm_generated
Why do I get pins and needles in my hand?,causes,llm_generated
What causes ringing in the ears?,causes,llm_generated
Why do I get pins and needled in myy hand?,causes,typo
What causes Adolescent idiopathic scoliosis ?,causes,original
What causes food poisoning and how can I avoid it,causes,llm_generated
I've had this pain in my side for weeks and I have no idea what's causing it,causes,llm_generated
Can a viral infection cause my symptoms,causes,llm_generated
Whhat causes foid poisoning anf how can I avooif ut,causes,typo
What causes MECP2 duplication syndrome ?,causes,original
What causes ringing in the ears?,causes,llm_generated
I've been having these weird pains in my chest and I don't know what's causing them,causes,llm_generated
My doctor says I have high cholesterol but I don't know what caused it,causes,llm_generated
What causes ringing in the ears?,causes,typo
What causes Adenomyosis ?,causes,original
Can you tell me what's causing me to feel like this,causes,llm_generated
What causes hay fever to be so bad some years?,causes,llm_generated
What triggers eczema because I've had it since I was a kid,causes,llm_generated
What trighers eczemma because I've had it ince I was a kod,causes,typo
What causes Pneumonia - weakened immune system ?,causes,original
What's led to me ending up in hospital,causes,llm_generated
I've had a cough for ages and I'm worried it might be something serious that I've caught,causes,llm_generated
What could be making me so tired lately?,causes,llm_generated
What'ss ledd to me ending up in hospital,causes,typo
What causes Herpetic stomatitis ?,causes,original
I'm trying to work out what's triggered this condition,causes,llm_generated
"What's the root cause of all this, then",causes,llm_generated
I was wondering why I've been feeling like this lately,causes,llm_generated
"What's the root cause of all this, then",causes,typo
What causes Antisocial personality disorder ?,causes,original
Is it something I've done that's caused this,causes,llm_generated
Is there something in my lifestyle that's causing this,causes,llm_generated
Can a viral infection cause my symptoms,causes,llm_generated
Is iit something I've done yhhatt's caussed this,causes,typo
What causes Ulcers ?,causes,original
What makes your eyes get so red and itchy?,causes,llm_generated
I've been having these weird pains in my chest and I don't know what's causing them,causes,llm_generated
"Ive been so anxious lately, is there a reason for it?",causes,llm_generated
What mmakess your eyes gett so red and itchy?,causes,typo
What causes Drug-induced hypoglycemia ?,causes,original
Can a change in the weather cause my symptoms to flare up,causes,llm_generated
What's triggered this off then?,causes,llm_generated
Is there anything that causes dizzy spells?,causes,llm_generated
What's triggered thiis off then?,causes,typo
What causes Reactive arthritis ?,causes,original
What triggers these really bad headaches I keep getting?,causes,llm_generated
I've been feeling really dizzy and I don't know what's causing it,causes,llm_generated
What's causing all this pain in my back?,causes,llm_generated
What's causing all this pain in ny back?,causes,typo
What causes Gardner-Diamond syndrome ?,causes,original
Is it my diet that's causing my heartburn?,causes,llm_generated
Is there something in my environment that's making me feel unwell,causes,llm_generated
What makes someone develop asthma?,causes,llm_generated
Is theree somethinh in my enirnment that's making me fel unwell,causes,typo
What causes Brachial plexopathy ?,causes,original
I've been having these weird cravings and I'm wondering if it's because of a deficiency or something,causes,llm_generated
What could be making my joint ache so much?,causes,llm_generated
I've had this lump on my neck for weeks and I have no idea what's causing it,causes,llm_generated
I've been having these weird cravings nd I'm wwoonderih if it's because o a defiiency or something,causes,typo
What causes Parsonage Turner syndrome ?,causes,original
